path,berv,obs_key,order_index
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord040.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,40
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord041.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,41
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord042.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,42
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord043.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,43
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord044.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,44
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord045.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,45
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord046.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,46
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord047.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,47
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord048.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,48
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord049.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,49
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord050.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,50
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord051.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,51
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord052.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,52
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord053.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,53
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord054.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,54
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord055.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,55
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord056.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,56
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord057.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,57
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord058.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,58
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord059.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,59
./order1d_carmenes/car-20190702T21h28m51s-sci-amap-vis_A_ord060.fits,3877.033,car-20190702T21h28m51s-sci-amap-vis_A,60
./order1d_carmenes/car-20190702T21h44m27s-sci-amap-vis_A_ord000.fits,3861.68,car-20190702T21h44m27s-sci-amap-vis_A,0
./order1d_carmenes/car-20190702T21h44m27s-sci-amap-vis_A_ord001.fits,3861.68,car-20190702T21h44m27s-sci-amap-vis_A,1
./order1d_carmenes/car-20190702T21h44m27s-sci-amap-vis_A_ord002.fits,3861.68,car-20190702T21h44m27s-sci-amap-vis_A,2
